date,country_code,label,views
2023-02-28,CA,No QID,3265
2023-02-28,CA,non-political,1781791
2023-02-28,CA,political,721962
2023-02-28,GB,No QID,1141
2023-02-28,GB,non-political,3894284
2023-02-28,GB,political,1550131
2023-02-28,IN,No QID,33278
2023-02-28,IN,non-political,6898045
2023-02-28,IN,political,2826875
2023-02-28,US,No QID,27818
2023-02-28,US,non-political,19280724
2023-02-28,US,political,8779072
2023-03-01,AU,No QID,568
2023-03-01,AU,non-political,984877
2023-03-01,AU,political,432493
2023-03-01,CA,No QID,3351
2023-03-01,CA,non-political,1662346
2023-03-01,CA,political,720159
2023-03-01,GB,No QID,1083
2023-03-01,GB,non-political,3709259
2023-03-01,GB,political,1744206
2023-03-01,IN,No QID,31453
2023-03-01,IN,non-political,6484893
2023-03-01,IN,political,2679048
2023-03-01,US,No QID,28128
2023-03-01,US,non-political,18151408
2023-03-01,US,political,8357487
2023-03-02,AU,No QID,633
2023-03-02,AU,non-political,1016318
2023-03-02,AU,political,448142
2023-03-02,CA,No QID,3489
2023-03-02,CA,non-political,1674127
2023-03-02,CA,political,707522
2023-03-02,GB,No QID,1103
2023-03-02,GB,non-political,3626657
2023-03-02,GB,political,1707655
2023-03-02,IN,No QID,31860
2023-03-02,IN,non-political,6607084
2023-03-02,IN,political,3169873
2023-03-02,US,No QID,26469
2023-03-02,US,non-political,17986934
2023-03-02,US,political,8431765
2023-03-03,AU,No QID,624
2023-03-03,AU,non-political,1199393
2023-03-03,AU,political,462960
2023-03-03,CA,No QID,3612
2023-03-03,CA,non-political,1721105
2023-03-03,CA,political,748417
2023-03-03,GB,No QID,1072
2023-03-03,GB,non-political,4122885
2023-03-03,GB,political,1660230
2023-03-03,IN,No QID,34354
2023-03-03,IN,non-political,7045603
2023-03-03,IN,political,2944046
2023-03-03,US,No QID,9714
2023-03-03,US,non-political,18254405
2023-03-03,US,political,8933010
2023-03-04,AU,No QID,425
2023-03-04,AU,non-political,1397259
2023-03-04,AU,political,448004
